 No caminho ele me guiará ; 9953
 No céu há janelas abertas ; 8811
 No expresso viajamos ; 9015
 No Getsêmani ; 7752
 No meu coração ; 9926
 No meu coração há um tesouro ; 9986
 No princípio era o verbo ; 7750
 No serviço do meu Rei eu sou feliz ; 4471
 No silêncio da noite ; 556
 No trono da cidade de Deus ; 5546
 Nos átrios do Senhor entramos ; 45
 Nos prostremos aos seus pés; 6609
 Nós receberemos lá no céu ; 9970
 Nós te adoramos, Senhor ; 6661
 Nossas vidas são mudadas ; 9022
 Nosso Deus é soberano ; 6638
 Nosso louvor ; 7787
 Nova aliança ; 9987
 Nunca mais, nunca mais ; 8829
 Ó amado de minh’alma ; 2284
 O amor de Deus é grande; 7754
 O amor de Deus por nós ; 2256
 O amor de Jesus é grande ; 2289
 O anjo do Senhor está passeando ; 563
 O bom caminho ; 1185
 O caminho que nos leva ao céu é Jesus; 1184
 O Cordeiro que na cruz morreu ; 51
 O criador do universo ; 6639
 Ó Cristo! Pão da vida ; 4478
 O Deus a quem servimos ; 2297
 O dia do Senhor virá; 9993
 O Espírito de Deus fala à sua igreja ; 5525
 O Espírito do Senhor está sendo derramado ; 4457
 O estandarte desta igreja ; 3313
 Ó grande Deus ; 6614
 Ó Jesus, exaltar-te-ei ; 6619
 Ó Jesus! Ó vera Páscoa ; 4480
 O mesmo Deus ; 3349
 O meu amado desceu ao seu jardim ; 4443
 O meu amado fala e me diz ; 5537
 O meu coração ; 7713
 O meu coração se regozija no Senhor ; 6650
 O meu louvor é fruto; 6637
 O mundo não sabe ; 7751
 O nome de Jesus é doce ; 8801-E
 Ó Pai, eu queria tanto ver ; 7772
 Ó Pastor de Israel ; 4442
 O poder do sangue de Jesus ; 28
 O povo que andava em trevas; 2215
 Ó profundidade das riquezas ; 6618
 O que há de vir, virá ; 5519
 O que habita no abrigo de Deus ; 3322
 O Rei e eu ; 3344
 O sangue de Jesus ; 50
 O sangue de Jesus tem poder ; 1
 O sangue de Jesus tem poder para salvar ; 2
 O sangue de Jesus, vertido ali na cruz ; 32
 O sangue do Cordeiro de Deus ; 53
 O Senhor da ceifa está chamando ; 4430
 O Senhor é a alegria; 1186
 O Senhor é a minha luz ; 3311
 O Senhor é o meu Pastor (Bondade e misericórdia) ; 3377
 O Senhor é o meu Pastor (Refrigera a minha alma) ; 3376
 O Senhor é o meu Pastor (Salmo 23) ; 3378
 O Senhor reina ; 7717
 O Senhor te guiará ; 7764
 Ó Senhor, Deus de Israel ; 2224
 O sentido de viver ; 1130
 O sol escurecerá ; 5531
 O teu pecado tu queres deixar? ; 20
 Ó tu que habitas entre os querubins ; 2271
 Ó vem derramar ; 4458
